course_id,course_title,description,category,partner,is_paid,price,duration_weeks,enrollment_count,rating,level
113,Key Skills for Advanced Threat Intelligence Reporting,"Learn to research threats, attribute attacks, and create actionable intelligence reports for decision-makers.",Business & Management,Starweaver,False,0.0,4,,,Intermediate level
114,Viral Hepatitis in Children,"Support paediatric patients, their families and your practice with an understanding of acute and chronic hepatitis in children.",Healthcare & Medicine,The European Society for Paediatric Gastroenterology Hepatology and Nutrition (ESPGHAN),False,0.0,2,328.0,,Intermediate level
115,English Pronunciation in a Global World,"In this course, you will improve your English pronunciation skills and learn about speaking English in today's globalised world.",Language,Vrije Universiteit Amsterdam,True,59.0,4,136914.0,4.83478,Intermediate level
116,Chinese Sign Language and Culture,"Explore Chinese Sign Language and Deaf culture, and build basic communication skills for inclusive interaction.",Language,Shanghai International Studies University (SISU),False,0.0,5,,,Introductory level
117,Introduction to Forensic Psychology,"Explore how psychology meets criminal justice. Learn about profiling, criminal behaviour, and the role of forensic psychologists.",Psychology & Mental Health,Central Queensland University (CQU),False,0.0,4,1095.0,,Introductory level
118,Studying an online degree at Leeds,Explore what it's really like to study an online master's at Leeds. Build confidence and decide if postgraduate study is for you.,Study Skills,University of Leeds,False,0.0,3,,,
119,Battery Energy: Sustainable Battery Technologies,"Explore sustainable battery solutions for electric vehicles and renewable energy with recycling, materials, and circular design.","Science, Engineering & Maths",Deakin University,False,0.0,3,,,
120,Immunotherapy Toxicity Management,Spot immune-related toxicity early and deliver safer cancer treatment.,Healthcare & Medicine,Deakin University,False,0.0,3,,,
121,Understanding Legal and Ethical Cyber Investigations,"Learn to handle digital evidence legally and ethically, from crime scene to courtroom, in this practical cybercrime course.",Business & Management,Starweaver,False,0.0,4,,,Intermediate level
122,Babies in Mind: Why the Parent's Mind Matters,"Explore how parents and caregivers influence infant mental health, brain development, and a child’s emotional well-being.",Psychology & Mental Health,Association for Infant Mental Health (AIMH),False,0.0,4,451.0,,
123,Key Skills for AI-Powered Clinical Decision Systems,"Learn to integrate AI tools into clinical practice for improved diagnostics, workflows, and patient care.",Healthcare & Medicine,Starweaver,False,0.0,4,,,Intermediate level
124,Preventing Arm Lymphedema After Breast Cancer Treatment,Learn evidence-based strategies for early detection and prevention of lymphedema in breast cancer survivors.,Healthcare & Medicine,Skåne Care,False,0.0,5,,,Intermediate level
125,Key Skills for AI-Driven Electronic Health Records & Data Management,"Use generative AI to streamline EHR documentation, workflows, and analytics without coding.",Healthcare & Medicine,Starweaver,False,0.0,4,,,Intermediate level
126,"Thoughts, feelings and behaviour: An introduction to psychology",Unlock the secrets of the mind and discover what drives human actions,Psychology & Mental Health,UEA (University of East Anglia),False,0.0,2,919.0,,Introductory level
127,Key Skills for Running Cybersecurity Operations,"Build cybersecurity skills to protect systems, data and organisations",IT & Computer Science,Starweaver,False,0.0,4,361.0,,Introductory level
128,Design Your Future: A BA Graphic Design Taster,"Unleash your creativity through drawing, logo design, and animation. Build your first portfolio and explore graphic design skills.",Creative Arts & Media,Arden University,False,0.0,5,,,
129,Blue Biotechnology Entrepreneurship and Careers: Innovation to Impact,Explore how ocean science creates tomorrow's medicines and clean energy. Learn to turn marine innovation into sustainable business,Business & Management,SUBMARINER Network for Blue Growth,False,0.0,5,,,
130,Behaviour Change Interventions: Introductory Principles and Practice,"Explore behaviour change frameworks, and how they can be used to enable behaviour change in yourself and others.",Psychology & Mental Health,UCL (University College London),True,120.0,4,,4.68548,
131,Art and the Environment in Southeast Asia: Making in a Changing World,Discover how Southeast Asian artists respond to environmental change through creative practices rooted in community and place.,Creative Arts & Media,National Gallery Singapore,False,0.0,5,,,
132,Foundations of Software Testing and Validation,Gain career-ready skills in software testing and development by designing robust test cases and applying industry standards.,IT & Computer Science,University of Leeds,False,0.0,2,,,
133,"Introduction to Games: From Design, Art and Technology to Esports","Explore the creative and technical foundations of game design, art, technology, and discover the exciting world of esports.",Creative Arts & Media,Communication University of China,False,0.0,5,,,Introductory level
134,How to Get Into Robotics,Discover robotics engineering and explore its diverse career paths with the University of Leeds.,IT & Computer Science,University of Leeds,False,0.0,2,,,
135,How to Get Into Blockchain,Discover the building blocks of blockchain technologies and how to utilise them for a successful career in tech.,IT & Computer Science,University of Leeds,False,0.0,2,,,
136,Words Matter: How to Communicate with Children so they Thrive,"Discover practical ways to support children’s mental health and wellbeing, build their confidence, self-esteem, and resilience.",Psychology & Mental Health,Words Matter,False,0.0,3,,,
137,Key Skills for Leveraging Open AI Tools in Health Systems,"Master open AI tools to transform patient care, streamline healthcare workflows, and lead innovation in digital health.",Healthcare & Medicine,Starweaver,False,0.0,4,,,Intermediate level
138,Mindset for Success: Thriving as a Distance Learner Student,"Build the mindset, study habits, and connections you need to thrive as a remote learner. Develop resilience and stay motivated.",Study Skills,Arden University,False,0.0,4,,,
139,Introduction to Holistic Counselling,"Explore how the mind, heart, and spirit shape wellbeing in this accessible introduction to holistic counselling.",Psychology & Mental Health,Metavision Institute,False,0.0,6,,,Introductory level
140,AI and Tech in Korea: A Cultural and Technological Perspective,See how Korea combines cutting-edge innovation with culture to lead the global AI and Big Data revolution.,IT & Computer Science,Hanyang University,False,0.0,6,,,
141,Heart Health: A Beginner's Guide to Cardiovascular Disease,"Learn more about how your heart works, the causes of heart disease and how to keep your heart healthy.",Healthcare & Medicine,University of Reading,True,79.0,4,67527.0,4.88496,
142,Core Principles of NIST and ISO Integration for Cyber Governance,Learn to unify ISO and NIST frameworks into one cybersecurity programme.,IT & Computer Science,Starweaver,False,0.0,4,,,Advanced level
143,Core Principles of Network Defence Strategies,"Build hands-on skills to design, secure, and monitor resilient enterprise networks that stand up to evolving security threats.",IT & Computer Science,Starweaver,False,0.0,4,,,Intermediate level
144,"Exploring Scottish Catholicism: Education, Philosophy, and Literature","Explore Scotland's rich Catholic heritage through literature, philosophy, and history with the University of Glasgow.",History,The University of Glasgow,False,0.0,3,304.0,,Introductory level
145,Foundational Holistic Counselling Skills,"Build essential counselling skills that connect mind, body, and spirit, supporting others with empathy and understanding.",Psychology & Mental Health,Metavision Institute,False,0.0,6,,,Introductory level
146,Key Skills for Offensive Cyber Operations,"Learn to think like a cyber attacker so you can defend better. Explore offensive techniques, attacker psychology, and red teaming.",IT & Computer Science,Starweaver,False,0.0,4,,,Intermediate level
147,Core Principles of Using AI Agents in Cyber Defense,Explore how AI agents strengthen SOC operations.,IT & Computer Science,Starweaver,False,0.0,4,,,Intermediate level
148,Understanding Cyber Risk Management Strategies,Build advanced cyber risk management skills to lead security teams confidently. Learn strategic frameworks for high-stakes sectors,IT & Computer Science,Starweaver,False,0.0,4,,,Intermediate level
149,Key Skills for Digital Health Data & Governance Essentials,Learn to manage and govern digital health data responsibly. Build the skills to keep healthcare systems secure and trustworthy.,Healthcare & Medicine,Starweaver,False,0.0,4,,,Intermediate level
150,Epargner et Investir,Êtes-vous certain de comprendre le fonctionnement du système financier?,Business & Management,Grenoble Ecole de Management,False,0.0,5,10705.0,,
151,Core Principles of Cybersecurity Leadership and Oversight,"Lead your team, influence cybersecurity culture, and embed practical strategies across your organisation.",Business & Management,Starweaver,False,0.0,4,,,Advanced level
